rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0290.jpg,116.0,0.5338,0.5226,0.375,0.8,7,3,False,False
77,frame_0089.jpg,35.6,0.5319,0.6038,0.5,0.4,6,4,False,False
78,frame_0168.jpg,67.2,0.5312,0.6134,0.375,0.56,5,3,False,False
79,frame_0302.jpg,120.8,0.5308,0.5265,0.625,0.4,5,5,False,False
80,frame_0316.jpg,126.4,0.5301,0.6962,0.5,0.16,8,4,False,False
81,frame_0280.jpg,112.0,0.5299,0.5999,0.5,0.4,6,4,False,False
82,frame_0297.jpg,118.8,0.5278,0.5906,0.375,0.6,6,3,False,False
83,frame_0071.jpg,28.4,0.5266,0.5782,0.125,1.0,7,1,False,False
84,frame_0294.jpg,117.6,0.5264,0.6149,0.25,0.72,4,2,False,False
85,frame_0273.jpg,109.2,0.5255,0.628,0.625,0.12,7,5,False,False
86,frame_0388.jpg,155.2,0.5192,0.7494,0.375,0.16,9,3,False,False
87,frame_0189.jpg,75.6,0.5188,0.8556,0.25,0.08,4,2,False,False
88,frame_0396.jpg,158.4,0.5182,0.5974,0.625,0.16,11,5,False,False
89,frame_0026.jpg,10.4,0.5168,0.4085,0.375,1.0,5,3,False,False
90,frame_0210.jpg,84.0,0.5167,0.6863,0.125,0.68,3,1,False,False
91,frame_0006.jpg,2.4,0.5162,0.4075,0.375,1.0,4,3,False,False
92,frame_0070.jpg,28.0,0.5162,0.5575,0.125,1.0,7,1,False,False
93,frame_0398.jpg,159.2,0.515,0.559,0.625,0.24,10,5,False,False
94,frame_0330.jpg,132.0,0.5149,0.7137,0.5,0.04,8,4,False,False
95,frame_0397.jpg,158.8,0.5095,0.639,0.5,0.2,7,4,False,False
96,frame_0301.jpg,120.4,0.508,0.615,0.375,0.44,6,3,False,False
97,frame_0286.jpg,114.4,0.5072,0.6084,0.25,0.64,7,2,False,False
98,frame_0177.jpg,70.8,0.5067,0.5583,0.625,0.2,7,5,False,False
99,frame_0225.jpg,90.0,0.5061,0.7553,0.375,0.08,7,3,False,False
100,frame_0185.jpg,74.0,0.5049,0.5278,0.75,0.08,9,6,False,False
101,frame_0017.jpg,6.8,0.5027,0.3804,0.375,1.0,6,3,False,False
102,frame_0032.jpg,12.8,0.5011,0.3772,0.375,1.0,6,3,False,False
103,frame_0275.jpg,110.0,0.4992,0.6934,0.375,0.2,6,3,False,False
104,frame_0015.jpg,6.0,0.498,0.446,0.25,1.0,6,2,False,False
105,frame_0215.jpg,86.0,0.497,0.5771,0.375,0.48,4,3,False,False
106,frame_0081.jpg,32.4,0.4959,0.4037,0.5,0.72,6,4,False,False
107,frame_0170.jpg,68.0,0.4893,0.6366,0.25,0.48,5,2,False,False
108,frame_0375.jpg,150.0,0.4868,0.5936,0.5,0.2,9,4,False,False
109,frame_0298.jpg,119.2,0.4857,0.5974,0.25,0.56,6,2,False,False
110,frame_0173.jpg,69.2,0.4849,0.6757,0.25,0.36,7,2,False,False
111,frame_0119.jpg,47.6,0.4844,0.4769,0.5,0.48,7,4,False,False
112,frame_0209.jpg,83.6,0.4844,0.6058,0.125,0.72,3,1,False,False
113,frame_0131.jpg,52.4,0.484,0.434,0.25,0.96,5,2,False,False
114,frame_0305.jpg,122.0,0.4838,0.5557,0.5,0.28,5,4,False,False
115,frame_0118.jpg,47.2,0.4829,0.4897,0.5,0.44,6,4,False,False
116,frame_0095.jpg,38.0,0.4825,0.676,0.375,0.16,6,3,False,False
117,frame_0010.jpg,4.0,0.4821,0.5641,0.0,1.0,2,0,False,False
118,frame_0211.jpg,84.4,0.4791,0.5521,0.25,0.64,3,2,False,False
119,frame_0274.jpg,109.6,0.479,0.819,0.125,0.16,7,1,False,False
120,frame_0268.jpg,107.2,0.4735,0.615,0.5,0.08,6,4,False,False
121,frame_0196.jpg,78.4,0.4723,0.6506,0.25,0.36,2,2,False,False
122,frame_0276.jpg,110.4,0.472,0.473,0.625,0.24,9,5,False,False
123,frame_0314.jpg,125.6,0.4717,0.5364,0.625,0.08,7,5,False,False
124,frame_0223.jpg,89.2,0.4715,0.579,0.5,0.16,7,4,False,False
125,frame_0395.jpg,158.0,0.4695,0.5909,0.5,0.12,9,4,False,False
126,frame_0386.jpg,154.4,0.4685,0.541,0.5,0.24,7,4,False,False
127,frame_0096.jpg,38.4,0.4678,0.5876,0.5,0.12,7,4,False,False
128,frame_0327.jpg,130.8,0.4673,0.6936,0.375,0.04,13,3,False,False
129,frame_0277.jpg,110.8,0.4667,0.5215,0.5,0.28,7,4,False,False
130,frame_0332.jpg,132.8,0.4655,0.69,0.375,0.04,9,3,False,False
131,frame_0313.jpg,125.2,0.4635,0.761,0.25,0.04,2,2,False,False
132,frame_0090.jpg,36.0,0.4623,0.4807,0.5,0.36,5,4,False,False
133,frame_0016.jpg,6.4,0.4622,0.2993,0.375,1.0,5,3,False,False
134,frame_0384.jpg,153.6,0.4622,0.7104,0.25,0.16,7,2,False,False
135,frame_0020.jpg,8.0,0.4595,0.2941,0.375,1.0,4,3,False,False
136,frame_0130.jpg,52.0,0.4575,0.4719,0.125,0.92,4,1,False,False
137,frame_0125.jpg,50.0,0.4564,0.4748,0.25,0.72,5,2,False,False
138,frame_0121.jpg,48.4,0.4545,0.535,0.25,0.56,5,2,False,False
139,frame_0167.jpg,66.8,0.4539,0.5177,0.25,0.6,6,2,False,False
140,frame_0303.jpg,121.2,0.4518,0.6096,0.25,0.36,7,2,False,False
